,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Poland_result_value
14,14,310,995,293,1982-06-14,1982,Spain,Vigo,Estadio Municipal de Balaídos,33000.0,Groups,Italy,ITA,Poland,POL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
15,15,324,834,293,1982-06-19,1982,Spain,La Coruña,Riazor,19000.0,Groups,Poland,POL,Cameroon,CMR,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
16,16,333,1055,293,1982-06-22,1982,Spain,La Coruña,Riazor,25000.0,Groups,Poland,POL,Peru,PER,0,0,5,1,5,1,Poland,0.0,0.0,5.0,1.0,5.0,1.0,Groups,Groups,1.0,1.0,1.0
17,17,345,782,294,1982-06-28,1982,Spain,Barcelona,Camp Nou,65000.0,Round of 16,Poland,POL,Belgium,BEL,2,0,1,0,3,0,Poland,2.0,0.0,1.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
18,18,353,1058,294,1982-07-04,1982,Spain,Barcelona,Camp Nou,65000.0,Round of 16,Poland,POL,Soviet Union,URS,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
19,19,356,996,295,1982-07-08,1982,Spain,Barcelona,Camp Nou,50000.0,Semifinals,Poland,POL,Italy,ITA,0,1,0,1,0,2,Italy,1.0,0.0,1.0,0.0,2.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
20,20,358,921,676,1982-07-10,1982,Spain,Alicante,Jose Rico Perez,28000.0,Third place,Poland,POL,France,FRA,2,1,1,1,3,2,Poland,2.0,1.0,1.0,1.0,3.0,2.0,Third place,Third place,5.0,5.0,5.0
21,21,365,674,308,1986-06-02,1986,Mexico,Monterrey,Estadio Universitario,19900.0,Groups,Morocco,MAR,Poland,POL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
22,22,380,701,308,1986-06-07,1986,Mexico,Monterrey,Estadio Universitario,19915.0,Groups,Poland,POL,Portugal,POR,0,0,1,0,1,0,Poland,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
23,23,391,537,308,1986-06-11,1986,Mexico,Monterrey,Tecnologico,22700.0,Groups,England,ENG,Poland,POL,3,0,0,0,3,0,England,3.0,0.0,0.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
24,24,399,444,309,1986-06-16,1986,Mexico,Guadalajara,Jalisco,45000.0,Round of 16,Brazil,BRA,Poland,POL,1,0,3,0,4,0,Brazil,1.0,0.0,3.0,0.0,4.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
25,25,593,43950014,43950100,2002-06-04,2002,South Korea,Busan,Busan Asiad Main Stadium,48760.0,Groups,South Korea,KOR,Poland,POL,1,0,1,0,2,0,South Korea,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
26,26,610,43950032,43950100,2002-06-10,2002,South Korea,Jeonju,Jeonju World Cup Stadium,31000.0,Groups,Portugal,POR,Poland,POL,1,0,3,0,4,0,Portugal,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
27,27,627,43950048,43950100,2002-06-14,2002,South Korea,Daejeon,Daejeon World Cup Stadium,26482.0,Groups,Poland,POL,United States,USA,2,0,1,1,3,1,Poland,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
28,28,646,97410002,97410100,2006-06-09,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Groups,Poland,POL,Ecuador,ECU,0,1,0,1,0,2,Ecuador,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
29,29,661,97410017,97410100,2006-06-14,2006,Germany,Dortmund,"FIFA World Cup Stadium, Dortmund",65000.0,Groups,Germany,GER,Poland,POL,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
30,30,677,97410034,97410100,2006-06-20,2006,Germany,Hanover,"FIFA World Cup Stadium, Hanover",43000.0,Groups,Costa Rica,CRC,Poland,POL,1,1,0,1,1,2,Poland,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
