,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Bulgaria_result_value
15,15,397,463,309,1986-06-15,1986,Mexico,Mexico City,Estadio Azteca,114580.0,Round of 16,Mexico,MEX,Bulgaria,BUL,1,0,1,0,2,0,Mexico,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
16,16,475,3061,337,1994-06-21,1994,United States,Dallas,Cotton Bowl,44132.0,Groups,Nigeria,NGA,Bulgaria,BUL,2,0,1,0,3,0,Nigeria,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
17,17,487,3072,337,1994-06-26,1994,United States,Chicago,Soldier Field,63160.0,Groups,Bulgaria,BUL,Greece,GRE,1,0,3,0,4,0,Bulgaria,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
18,18,499,3084,337,1994-06-30,1994,United States,Dallas,Cotton Bowl,63998.0,Groups,Argentina,ARG,Bulgaria,BUL,0,0,0,2,0,2,Bulgaria,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
19,19,507,3092,338,1994-07-05,1994,United States,East Rutherford,Giants Stadium,71030.0,Round of 16,Mexico,MEX,Bulgaria,BUL,0,0,1,1,1,1,Bulgaria,0.0,0.0,1.0,1.0,1.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
20,20,510,3096,796,1994-07-10,1994,United States,East Rutherford,Giants Stadium,72000.0,Quarterfinals,Bulgaria,BUL,Germany,GER,0,0,2,1,2,1,Bulgaria,0.0,0.0,2.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
21,21,512,3100,3461,1994-07-13,1994,United States,East Rutherford,Giants Stadium,74110.0,Semifinals,Bulgaria,BUL,Italy,ITA,1,2,0,0,1,2,Italy,2.0,1.0,0.0,0.0,2.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
22,22,514,3103,3460,1994-07-16,1994,United States,Pasadena,Rose Bowl,91500.0,Third place,Sweden,SWE,Bulgaria,BUL,4,0,0,0,4,0,Sweden,4.0,0.0,0.0,0.0,4.0,0.0,Third place,Third place,5.0,5.0,5.0
23,23,520,8728,1014,1998-06-12,1998,France,Montpellier,La Mosson,29800.0,Groups,Paraguay,PAR,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
24,24,538,8747,1014,1998-06-19,1998,France,Paris,Parc des Princes,45500.0,Groups,Nigeria,NGA,Bulgaria,BUL,1,0,0,0,1,0,Nigeria,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
25,25,554,8761,1014,1998-06-24,1998,France,Lens,Stade Felix Bollaert,38100.0,Groups,Spain,ESP,Bulgaria,BUL,2,0,4,1,6,1,Spain,2.0,0.0,4.0,1.0,6.0,1.0,Groups,Groups,1.0,1.0,1.0
